ID,OnLandOffShore,Periods,ProductionOfElectricity_1,ProductionFactor_2,ProductionByRotorSurface_3,PowerOfWindTurbines_4,RotorSurfaceOfWindTurbines_5,ValueMeasured_6,SeasonallyAdjusted_7
730,E006638 ,2010MM01,63.0,37.0,1393.0,228.0,530.0,,
731,E006638 ,2010MM02,66.0,43.3,1631.0,228.0,530.0,,
732,E006638 ,2010MM03,68.0,39.8,1500.0,228.0,530.0,,
733,E006638 ,2010KW01,197.0,39.9,1504.0,228.0,530.0,,
734,E006638 ,2010MM04,39.0,24.0,903.0,228.0,530.0,,
735,E006638 ,2010MM05,44.0,26.1,983.0,228.0,530.0,,
736,E006638 ,2010MM06,32.0,19.7,740.0,228.0,530.0,,
737,E006638 ,2010KW02,116.0,23.3,876.0,228.0,530.0,,
738,E006638 ,2010MM07,29.0,17.3,652.0,228.0,530.0,,
739,E006638 ,2010MM08,61.0,35.8,1350.0,228.0,530.0,,
740,E006638 ,2010MM09,57.0,35.0,1317.0,228.0,530.0,,
741,E006638 ,2010KW03,148.0,29.3,1104.0,228.0,530.0,,
742,E006638 ,2010MM10,89.0,52.2,1966.0,228.0,530.0,,
743,E006638 ,2010MM11,65.0,39.6,1491.0,228.0,530.0,,
744,E006638 ,2010MM12,65.0,38.3,1441.0,228.0,530.0,,
745,E006638 ,2010KW04,218.0,43.4,1634.0,228.0,530.0,,
746,E006638 ,2010JJ00,679.0,34.0,1280.0,228.0,530.0,,
747,E006638 ,2011MM01,77.0,45.6,1717.0,228.0,530.0,,
748,E006638 ,2011MM02,76.0,49.6,1868.0,228.0,530.0,,
749,E006638 ,2011MM03,44.0,26.2,987.0,228.0,530.0,,
750,E006638 ,2011KW01,198.0,40.2,1513.0,228.0,530.0,,
751,E006638 ,2011MM04,48.0,29.3,1104.0,228.0,530.0,,
752,E006638 ,2011MM05,57.0,33.4,1257.0,228.0,530.0,,
753,E006638 ,2011MM06,54.0,33.0,1243.0,228.0,530.0,,
754,E006638 ,2011KW02,159.0,31.9,1202.0,228.0,530.0,,
755,E006638 ,2011MM07,61.0,35.7,1343.0,228.0,530.0,,
756,E006638 ,2011MM08,49.0,29.1,1097.0,228.0,530.0,,
757,E006638 ,2011MM09,67.0,40.9,1542.0,228.0,530.0,,
758,E006638 ,2011KW03,177.0,35.2,1325.0,228.0,530.0,,
759,E006638 ,2011MM10,84.0,49.2,1855.0,228.0,530.0,,
760,E006638 ,2011MM11,63.0,38.6,1452.0,228.0,530.0,,
761,E006638 ,2011MM12,121.0,71.4,2688.0,228.0,530.0,,
762,E006638 ,2011KW04,268.0,53.2,2004.0,228.0,530.0,,
763,E006638 ,2011JJ00,802.0,40.1,1512.0,228.0,530.0,,
764,E006638 ,2012MM01,90.0,52.8,1993.0,228.0,530.0,,
765,E006638 ,2012MM02,76.0,47.9,1808.0,228.0,530.0,,
766,E006638 ,2012MM03,38.0,22.5,849.0,228.0,530.0,,
767,E006638 ,2012KW01,204.0,40.9,1544.0,228.0,530.0,,
768,E006638 ,2012MM04,61.0,37.5,1415.0,228.0,530.0,,
769,E006638 ,2012MM05,51.0,29.9,1130.0,228.0,530.0,,
770,E006638 ,2012MM06,62.0,37.7,1423.0,228.0,530.0,,
771,E006638 ,2012KW02,174.0,35.0,1320.0,228.0,530.0,,
772,E006638 ,2012MM07,46.0,27.1,1023.0,228.0,530.0,,
773,E006638 ,2012MM08,40.0,23.8,900.0,228.0,530.0,,
774,E006638 ,2012MM09,71.0,43.5,1643.0,228.0,530.0,,
775,E006638 ,2012KW03,158.0,31.3,1184.0,228.0,530.0,,
776,E006638 ,2012MM10,74.0,43.8,1653.0,228.0,530.0,,
777,E006638 ,2012MM11,78.0,47.7,1801.0,228.0,530.0,,
778,E006638 ,2012MM12,101.0,59.7,2253.0,228.0,530.0,,
779,E006638 ,2012KW04,254.0,50.4,1904.0,228.0,530.0,,
780,E006638 ,2012JJ00,789.0,39.4,1488.0,228.0,530.0,,
781,E006638 ,2013MM01,76.0,44.6,1679.0,228.0,530.0,,
782,E006638 ,2013MM02,72.0,46.9,1765.0,228.0,530.0,,
783,E006638 ,2013MM03,79.0,46.3,1745.0,228.0,530.0,,
784,E006638 ,2013KW01,226.0,45.9,1729.0,228.0,530.0,,
785,E006638 ,2013MM04,67.0,40.8,1538.0,228.0,530.0,,
786,E006638 ,2013MM05,64.0,37.7,1421.0,228.0,530.0,,
787,E006638 ,2013MM06,66.0,40.3,1518.0,228.0,530.0,,
788,E006638 ,2013KW02,197.0,39.6,1492.0,228.0,530.0,,
789,E006638 ,2013MM07,32.0,18.6,700.0,228.0,530.0,,
790,E006638 ,2013MM08,34.0,20.3,765.0,228.0,530.0,,
791,E006638 ,2013MM09,55.0,33.3,1255.0,228.0,530.0,,
792,E006638 ,2013KW03,121.0,24.0,903.0,228.0,530.0,,
793,E006638 ,2013MM10,79.0,46.8,1763.0,228.0,530.0,,
794,E006638 ,2013MM11,65.0,39.6,1491.0,228.0,530.0,,
795,E006638 ,2013MM12,83.0,48.8,1837.0,228.0,530.0,,
796,E006638 ,2013KW04,227.0,45.1,1699.0,228.0,530.0,,
797,E006638 ,2013JJ00,771.0,38.6,1454.0,228.0,530.0,,
798,E006638 ,2014MM01,89.0,52.7,1983.0,228.0,530.0,,
799,E006638 ,2014MM02,84.0,55.1,2074.0,228.0,530.0,,
800,E006638 ,2014MM03,69.0,40.6,1528.0,228.0,530.0,,
801,E006638 ,2014KW01,243.0,49.2,1855.0,228.0,530.0,,
802,E006638 ,2014MM04,48.0,29.2,1099.0,228.0,530.0,,
803,E006638 ,2014MM05,45.0,26.8,1009.0,228.0,530.0,,
804,E006638 ,2014MM06,25.0,15.4,580.0,228.0,530.0,,
805,E006638 ,2014KW02,119.0,23.8,897.0,228.0,530.0,,
806,E006638 ,2014MM07,40.0,23.4,881.0,228.0,530.0,,
807,E006638 ,2014MM08,62.0,36.6,1377.0,228.0,530.0,,
808,E006638 ,2014MM09,29.0,17.8,670.0,228.0,530.0,,
809,E006638 ,2014KW03,131.0,26.0,979.0,228.0,530.0,,
810,E006638 ,2014MM10,83.0,49.2,1851.0,228.0,530.0,,
811,E006638 ,2014MM11,64.0,39.3,1479.0,228.0,530.0,,
812,E006638 ,2014MM12,108.0,63.9,2407.0,228.0,530.0,,
813,E006638 ,2014KW04,256.0,50.9,1917.0,228.0,530.0,,
814,E006638 ,2014JJ00,748.0,37.5,1411.0,228.0,530.0,,
815,E006638 ,2015MM01,98.0,57.5,2165.0,228.0,530.0,,
816,E006638 ,2015MM02,65.0,42.1,1586.0,228.0,530.0,,
817,E006638 ,2015MM03,79.0,46.8,1763.0,228.0,530.0,,
818,E006638 ,2015KW01,241.0,49.0,1847.0,228.0,530.0,,
819,E006638 ,2015MM04,44.0,26.9,1015.0,228.0,530.0,,
820,E006638 ,2015MM05,65.0,24.6,808.0,357.0,954.0,,
821,E006638 ,2015MM06,68.0,26.5,869.0,357.0,954.0,,
822,E006638 ,2015KW02,178.0,25.9,876.0,357.0,954.0,,
823,E006638 ,2015MM07,100.0,37.7,1237.0,357.0,954.0,,
824,E006638 ,2015MM08,83.0,31.4,1028.0,357.0,954.0,,
825,E006638 ,2015MM09,103.0,40.1,1316.0,357.0,954.0,,
826,E006638 ,2015KW03,287.0,36.4,1192.0,357.0,954.0,,
827,E006638 ,2015MM10,73.0,27.6,906.0,357.0,954.0,,
828,E006638 ,2015MM11,163.0,63.3,2076.0,357.0,954.0,,
829,E006638 ,2015MM12,188.0,70.7,2320.0,357.0,954.0,,
830,E006638 ,2015KW04,424.0,53.8,1764.0,357.0,954.0,,
831,E006638 ,2015JJ00,1130.0,41.0,1387.0,357.0,954.0,,
832,E006638 ,2016MM01,158.0,59.6,1960.0,357.0,954.0,,
833,E006638 ,2016MM02,126.0,27.5,814.0,657.0,1949.0,,
834,E006638 ,2016MM03,115.0,23.5,697.0,657.0,1949.0,,
835,E006638 ,2016KW01,399.0,32.9,997.0,657.0,1949.0,,
836,E006638 ,2016MM04,114.0,24.0,712.0,657.0,1949.0,,
837,E006638 ,2016MM05,142.0,28.9,857.0,657.0,1949.0,,
838,E006638 ,2016MM06,96.0,13.9,398.0,957.0,2944.0,,
839,E006638 ,2016KW02,351.0,21.3,620.0,957.0,2944.0,,
840,E006638 ,2016MM07,141.0,19.8,565.0,957.0,2944.0,,
841,E006638 ,2016MM08,198.0,27.8,792.0,957.0,2944.0,,
842,E006638 ,2016MM09,194.0,28.1,804.0,957.0,2944.0,,
843,E006638 ,2016KW03,533.0,25.2,720.0,957.0,2944.0,,
844,E006638 ,2016MM10,293.0,41.1,1173.0,957.0,2944.0,,
845,E006638 ,2016MM11,354.0,51.4,1469.0,957.0,2944.0,,
846,E006638 ,2016MM12,339.0,47.7,1361.0,957.0,2944.0,,
847,E006638 ,2016KW04,986.0,46.7,1333.0,957.0,2944.0,,
848,E006638 ,2016JJ00,2269.0,32.0,928.0,957.0,2944.0,,
849,E006638 ,2017MM01,322.0,45.2,1288.0,957.0,2944.0,,
850,E006638 ,2017MM02,379.0,59.0,1680.0,957.0,2944.0,,
851,E006638 ,2017MM03,305.0,42.9,1221.0,957.0,2944.0,,
852,E006638 ,2017KW01,1007.0,48.7,1387.0,957.0,2944.0,,
853,E006638 ,2017MM04,268.0,38.9,1108.0,957.0,2944.0,,
854,E006638 ,2017MM05,235.0,33.0,939.0,957.0,2944.0,,
855,E006638 ,2017MM06,243.0,35.3,1005.0,957.0,2944.0,,
856,E006638 ,2017KW02,746.0,35.7,1016.0,957.0,2944.0,,
857,E006638 ,2017MM07,204.0,28.7,816.0,957.0,2944.0,,
858,E006638 ,2017MM08,218.0,30.6,871.0,957.0,2944.0,,
859,E006638 ,2017MM09,215.0,31.2,888.0,957.0,2944.0,,
860,E006638 ,2017KW03,637.0,30.1,858.0,957.0,2944.0,,
861,E006638 ,2017MM10,494.0,69.5,1978.0,957.0,2944.0,,
862,E006638 ,2017MM11,374.0,54.3,1547.0,957.0,2944.0,,
863,E006638 ,2017MM12,441.0,62.0,1766.0,957.0,2944.0,,
864,E006638 ,2017KW04,1310.0,62.0,1766.0,957.0,2944.0,,
865,E006638 ,2017JJ00,3700.0,44.1,1257.0,957.0,2944.0,,
866,E006638 ,2018MM01,428.0,60.1,1710.0,957.0,2944.0,,
867,E006638 ,2018MM02,314.0,48.8,1391.0,957.0,2944.0,,
868,E006638 ,2018MM03,330.0,46.4,1321.0,957.0,2944.0,,
869,E006638 ,2018KW01,1072.0,51.9,1477.0,957.0,2944.0,,
870,E006638 ,2018MM04,292.0,42.3,1206.0,957.0,2944.0,,
871,E006638 ,2018MM05,232.0,32.6,928.0,957.0,2944.0,,
872,E006638 ,2018MM06,201.0,29.2,832.0,957.0,2944.0,,
873,E006638 ,2018KW02,725.0,34.7,988.0,957.0,2944.0,,
874,E006638 ,2018MM07,130.0,18.3,521.0,957.0,2944.0,,
875,E006638 ,2018MM08,216.0,30.4,865.0,957.0,2944.0,,
876,E006638 ,2018MM09,323.0,46.9,1335.0,957.0,2944.0,,
877,E006638 ,2018KW03,670.0,31.7,902.0,957.0,2944.0,,
878,E006638 ,2018MM10,364.0,51.2,1457.0,957.0,2944.0,,
879,E006638 ,2018MM11,393.0,57.0,1623.0,957.0,2944.0,,
880,E006638 ,2018MM12,407.0,57.1,1626.0,957.0,2944.0,,
881,E006638 ,2018KW04,1164.0,55.1,1568.0,957.0,2944.0,,
882,E006638 ,2018JJ00,3630.0,43.3,1233.0,957.0,2944.0,,
883,E006638 ,2019MM01,371.0,,,,,,
884,E006638 ,2019MM02,298.0,,,,,,
885,E006638 ,2019MM03,381.0,,,,,,
886,E006638 ,2019KW01,1049.0,,,,,,
887,E006638 ,2019MM04,264.0,,,,,,
888,E006638 ,2019MM05,238.0,,,,,,
889,E006638 ,2019MM06,169.0,,,,,,
890,E006638 ,2019KW02,671.0,,,,,,
